Repeat,Seed,Model,Validation Strategy,R2,RMSE,MAE,MAPE,NRMSE,MBE
4,45,XGBoost,Random Split (RD+BT),0.6311,10.0127,5.1166,991.0527,1.1405,-0.0547
4,45,KNN,Group-Aware (RD),0.4483,13.9608,7.8412,793.081,1.3939,3.1284
4,45,KNN,Random Split (RD),0.7752,7.817,3.2305,111.1086,0.8904,-0.3214
4,45,KNN,Group-Aware (RD+BT),0.411,14.4247,7.9877,754.7769,1.4402,3.5306
4,45,KNN,Random Split (RD+BT),0.7679,7.9413,3.1867,94.7661,0.9045,-0.2431
4,45,MLP,Group-Aware (RD),0.6347,11.3592,6.4678,417.9449,1.1342,1.2287
4,45,MLP,Random Split (RD),0.8011,7.3519,3.2344,179.0282,0.8374,-0.7046
4,45,MLP,Group-Aware (RD+BT),0.5403,12.7436,7.1322,758.6737,1.2724,2.9154
4,45,MLP,Random Split (RD+BT),0.7317,8.5394,3.4632,147.4538,0.9726,-0.5004
5,46,Decision Tree,Group-Aware (RD),0.1616,16.7333,7.7756,313.9152,1.6224,0.8384
5,46,Decision Tree,Random Split (RD),0.6088,11.1503,4.048,293.7347,1.2764,0.5334
5,46,Decision Tree,Group-Aware (RD+BT),0.6431,10.9184,4.8806,62.4736,1.0586,-2.093
5,46,Decision Tree,Random Split (RD+BT),0.524,12.3001,4.2554,197.3325,1.408,0.519
5,46,XGBoost,Group-Aware (RD),0.385,14.3314,7.0708,1100.9399,1.3895,-1.0245
5,46,XGBoost,Random Split (RD),0.5129,12.4425,5.4281,1178.3344,1.4243,-0.1929
5,46,XGBoost,Group-Aware (RD+BT),0.3825,14.3601,7.0431,1161.633,1.3923,-1.4793
5,46,XGBoost,Random Split (RD+BT),0.5482,11.9824,5.4573,1248.4243,1.3717,0.0391
5,46,KNN,Group-Aware (RD),0.6984,10.0355,4.9357,87.7141,0.973,-1.2979
5,46,KNN,Random Split (RD),0.6697,10.2463,3.834,118.2523,1.1729,0.5772
5,46,KNN,Group-Aware (RD+BT),0.6744,10.428,5.2142,91.139,1.0111,-1.3798
5,46,KNN,Random Split (RD+BT),0.6566,10.4467,3.8022,112.9165,1.1959,0.2451
5,46,MLP,Group-Aware (RD),0.6387,10.9853,5.5889,212.8486,1.0651,-2.5863
5,46,MLP,Random Split (RD),0.7049,9.6852,3.6203,153.9345,1.1087,-0.3774
5,46,MLP,Group-Aware (RD+BT),0.5801,11.8426,5.9611,291.7571,1.1482,-2.7639
5,46,MLP,Random Split (RD+BT),0.7265,9.3229,3.7183,208.3929,1.0672,-0.0097
6,47,Decision Tree,Group-Aware (RD),-0.116,22.2168,10.3972,1563.0319,2.6789,0.2274
6,47,Decision Tree,Random Split (RD),0.5064,11.5587,4.786,466.0643,1.3555,-0.2098
6,47,Decision Tree,Group-Aware (RD+BT),-0.2012,23.0497,10.4076,999.6957,2.7793,0.4257
6,47,Decision Tree,Random Split (RD+BT),0.4718,11.957,4.9419,325.9523,1.4022,-0.3096
6,47,XGBoost,Group-Aware (RD),0.1823,19.0172,8.8754,916.0601,2.2931,0.3345
6,47,XGBoost,Random Split (RD),0.6348,9.9417,4.761,818.3963,1.1659,0.0147
6,47,XGBoost,Group-Aware (RD+BT),0.1475,19.4174,9.0546,1002.5981,2.3413,0.7976
6,47,XGBoost,Random Split (RD+BT),0.6255,10.0678,4.83,805.9687,1.1807,0.0642
6,47,KNN,Group-Aware (RD),0.4811,15.1491,7.1377,632.6475,1.8267,-2.061
6,47,KNN,Random Split (RD),0.6673,9.489,3.6131,95.3234,1.1128,0.0473
6,47,KNN,Group-Aware (RD+BT),0.5231,14.5239,6.8733,643.7348,1.7513,-2.1348
6,47,KNN,Random Split (RD+BT),0.6824,9.2724,3.4761,87.4597,1.0874,-0.0429
6,47,MLP,Group-Aware (RD),-0.3109,24.0791,10.4662,644.8521,2.9034,0.531
6,47,MLP,Random Split (RD),0.6798,9.3097,3.4808,159.1931,1.0918,0.1336
6,47,MLP,Group-Aware (RD+BT),-0.1069,22.1259,10.1536,789.5317,2.6679,1.1526
6,47,MLP,Random Split (RD+BT),0.6789,9.322,3.4073,131.388,1.0932,0.0604
7,48,Decision Tree,Group-Aware (RD),0.4056,9.9814,6.2498,479.7647,1.4059,2.4643
7,48,Decision Tree,Random Split (RD),0.6463,10.4548,4.3339,115.6435,1.1463,-0.5996
7,48,Decision Tree,Group-Aware (RD+BT),0.3464,10.4665,6.3,564.1138,1.4743,2.635
7,48,Decision Tree,Random Split (RD+BT),0.593,11.2147,4.5472,124.4485,1.2296,-0.0158
7,48,XGBoost,Group-Aware (RD),0.6174,8.0073,5.0626,628.5949,1.1279,1.2968
7,48,XGBoost,Random Split (RD),0.7406,8.9537,4.4702,601.3912,0.9817,-0.2876
7,48,XGBoost,Group-Aware (RD+BT),0.6197,7.9834,5.1231,633.9307,1.1245,1.4426
7,48,XGBoost,Random Split (RD+BT),0.7604,8.6045,4.4836,609.9539,0.9434,-0.0483
7,48,KNN,Group-Aware (RD),0.5526,8.6592,4.576,263.8052,1.2197,-0.4224
7,48,KNN,Random Split (RD),0.7765,8.3097,3.3719,57.9189,0.9111,-0.3057
7,48,KNN,Group-Aware (RD+BT),0.5474,8.7094,4.4888,281.6946,1.2268,-0.3333
7,48,KNN,Random Split (RD+BT),0.7706,8.4187,3.3505,58.8574,0.9231,-0.2863
7,48,MLP,Group-Aware (RD),-10.069,43.0717,8.4745,332.4127,6.0668,5.1135
7,48,MLP,Random Split (RD),0.7988,7.8857,3.3616,125.0738,0.8646,0.0289
7,48,MLP,Group-Aware (RD+BT),-5.2493,32.3634,9.1376,507.9678,4.5585,5.9935
7,48,MLP,Random Split (RD+BT),0.8291,7.267,3.204,120.2355,0.7968,-0.139
8,49,Decision Tree,Group-Aware (RD),0.6053,9.4964,4.5318,394.4865,1.0113,-0.881
8,49,Decision Tree,Random Split (RD),0.684,11.9877,4.9004,225.1971,1.1963,-0.8763
8,49,Decision Tree,Group-Aware (RD+BT),0.7937,6.8666,3.5011,368.9728,0.7312,-0.4589
8,49,Decision Tree,Random Split (RD+BT),0.702,11.6414,4.6363,293.7947,1.1617,-0.7239
8,49,XGBoost,Group-Aware (RD),-0.0968,15.8308,8.342,595.9955,1.6858,3.1559
8,49,XGBoost,Random Split (RD),0.6715,12.2234,5.2051,735.3793,1.2198,-1.0237
8,49,XGBoost,Group-Aware (RD+BT),-0.0534,15.5144,8.2747,611.0428,1.6521,3.1828
8,49,XGBoost,Random Split (RD+BT),0.6566,12.4972,5.2107,703.3715,1.2471,-1.1319
8,49,KNN,Group-Aware (RD),0.4883,10.8133,5.5863,288.5403,1.1515,-1.4099
8,49,KNN,Random Split (RD),0.7855,9.8769,3.9198,95.2102,0.9856,-0.4576
8,49,KNN,Group-Aware (RD+BT),0.4866,10.8312,5.5901,298.5492,1.1534,-1.4186
8,49,KNN,Random Split (RD+BT),0.7857,9.8721,3.913,88.827,0.9852,-0.4313
8,49,MLP,Group-Aware (RD),0.6204,9.3135,5.1755,326.7422,0.9918,-1.8504
8,49,MLP,Random Split (RD),0.8035,9.4541,3.7376,203.1642,0.9434,-0.2402
8,49,MLP,Group-Aware (RD+BT),0.4908,10.7872,6.0774,453.5902,1.1487,-0.2968
8,49,MLP,Random Split (RD+BT),0.7809,9.9821,3.9388,249.1801,0.9961,-0.8119
9,50,Decision Tree,Group-Aware (RD),-0.6123,20.4911,9.965,551.1837,2.1811,5.5593
9,50,Decision Tree,Random Split (RD),0.7021,9.5001,4.584,609.4378,1.0732,-0.4686
9,50,Decision Tree,Group-Aware (RD+BT),-0.8978,22.2312,9.6275,452.7464,2.3663,3.7118
9,50,Decision Tree,Random Split (RD+BT),0.74,8.8754,4.3186,622.9977,1.0026,-0.4562
9,50,XGBoost,Group-Aware (RD),0.3077,13.4268,8.0274,1805.2062,1.4292,1.4121
9,50,XGBoost,Random Split (RD),0.5835,11.2324,5.8372,1460.5129,1.2689,-0.2883
9,50,XGBoost,Group-Aware (RD+BT),0.2598,13.884,8.2207,1816.9222,1.4778,1.6968
9,50,XGBoost,Random Split (RD+BT),0.6149,10.8014,5.8183,1476.6655,1.2202,-0.1932
9,50,KNN,Group-Aware (RD),0.3274,13.2345,6.6406,446.5993,1.4087,-0.9753
9,50,KNN,Random Split (RD),0.7584,8.5547,3.566,120.676,0.9664,-0.1609
9,50,KNN,Group-Aware (RD+BT),0.2651,13.8341,6.8971,430.2539,1.4725,-0.7664
9,50,KNN,Random Split (RD+BT),0.7669,8.403,3.5167,116.1339,0.9493,-0.1969
9,50,MLP,Group-Aware (RD),0.2872,13.6248,7.4832,726.9954,1.4502,2.2412
9,50,MLP,Random Split (RD),0.7255,9.1197,3.6745,224.6318,1.0302,-0.6269
9,50,MLP,Group-Aware (RD+BT),0.1143,15.1872,8.5283,597.9786,1.6165,2.2914
9,50,MLP,Random Split (RD+BT),0.7704,8.3406,3.4981,233.6137,0.9422,-0.5704
10,51,Decision Tree,Group-Aware (RD),-0.4621,17.804,10.4788,415.4772,2.0594,8.4366
10,51,Decision Tree,Random Split (RD),0.7956,7.7845,3.6655,263.4195,0.8912,0.2171
10,51,Decision Tree,Group-Aware (RD+BT),0.0791,14.1296,9.0243,344.7134,1.6344,4.1858
10,51,Decision Tree,Random Split (RD+BT),0.7877,7.9334,4.028,414.4585,0.9083,-0.1595
10,51,XGBoost,Group-Aware (RD),0.5894,9.4345,5.5934,196.9723,1.0913,2.835
10,51,XGBoost,Random Split (RD),0.8129,7.4488,3.4184,261.1695,0.8528,0.0207
10,51,XGBoost,Group-Aware (RD+BT),0.5935,9.388,5.7959,215.7553,1.0859,3.0166
10,51,XGBoost,Random Split (RD+BT),0.8122,7.4632,3.3201,246.1995,0.8545,-0.1463
10,51,KNN,Group-Aware (RD),0.4475,10.9448,5.828,129.14,1.266,1.984
10,51,KNN,Random Split (RD),0.7294,8.9576,3.5998,80.6771,1.0256,0.016
10,51,KNN,Group-Aware (RD+BT),0.4174,11.2391,5.9008,131.0129,1.3,2.4124
10,51,KNN,Random Split (RD+BT),0.7368,8.8349,3.5113,69.7249,1.0115,-0.1544
10,51,MLP,Group-Aware (RD),-0.2528,16.4806,7.7777,179.5324,1.9063,4.5667
10,51,MLP,Random Split (RD),0.7167,9.166,3.683,171.2933,1.0494,-0.227
10,51,MLP,Group-Aware (RD+BT),-0.0587,15.1504,8.0723,212.3808,1.7525,3.1752
10,51,MLP,Random Split (RD+BT),0.7757,8.1551,3.3101,153.0098,0.9337,-0.3509
