method,group_roc_auc,group_roc_auc_std,pr_auc,pr_auc_std,mcc,mcc_std,f1,f1_std,balanced_accuracy,balanced_accuracy_std
XGBoost,0.8982546333753874,0.0075170476956909925,0.9662333576570953,0.0026193640588424508,0.4856842057642153,0.057328453910947055,0.8606397241601202,0.004535245956194036,0.7686284504204931,0.036593503643905
MLP,0.8602471017470551,0.026865175619900546,0.950858955824117,0.007309120252524712,0.4012307681444415,0.1848209656450885,0.8555700930789636,0.0003651799357529665,0.7358772854291441,0.07766457664751623
Decision Tree,0.8163539644449396,0.012774189278889314,0.9152593035189289,0.00582803420186504,0.3987277709130733,0.10236500840055153,0.8574056596233118,0.004264135863996183,0.7355302507571994,0.0639149258902738
SVM (RBF),0.8092059106598365,0.015059144773204568,0.9300331187608248,0.007844450952527605,0.34908467530950515,0.11891378043659523,0.845800541271738,0.011621199125318652,0.7067253790270869,0.08347908115092498
KNN,0.7732625333353836,0.01342424839493112,0.8984125125355422,0.009800900664394478,0.40449746577762,0.013161883004568999,0.8469020050801458,0.0056723808949284285,0.7304450150993104,0.00904993537592487
