model_id,model_family,feature_set,protocol,fold_count,sample_count,paper_count_sum,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,mcc_at_mcc_mean,mcc_at_mcc_std,f1_at_mcc_mean,f1_at_mcc_std,balanced_accuracy_at_mcc_mean,balanced_accuracy_at_mcc_std,sensitivity_at_mcc_mean,sensitivity_at_mcc_std,specificity_at_mcc_mean,specificity_at_mcc_std,precision_at_mcc_mean,precision_at_mcc_std,mcc_at_f1_mean,mcc_at_f1_std,f1_at_f1_mean,f1_at_f1_std,balanced_accuracy_at_f1_mean,balanced_accuracy_at_f1_std,sensitivity_at_f1_mean,sensitivity_at_f1_std,specificity_at_f1_mean,specificity_at_f1_std,precision_at_f1_mean,precision_at_f1_std,mcc_at_balanced_accuracy_mean,mcc_at_balanced_accuracy_std,f1_at_balanced_accuracy_mean,f1_at_balanced_accuracy_std,balanced_accuracy_at_balanced_accuracy_mean,balanced_accuracy_at_balanced_accuracy_std,sensitivity_at_balanced_accuracy_mean,sensitivity_at_balanced_accuracy_std,specificity_at_balanced_accuracy_mean,specificity_at_balanced_accuracy_std,precision_at_balanced_accuracy_mean,precision_at_balanced_accuracy_std,mcc_at_youden_j_mean,mcc_at_youden_j_std,f1_at_youden_j_mean,f1_at_youden_j_std,balanced_accuracy_at_youden_j_mean,balanced_accuracy_at_youden_j_std,sensitivity_at_youden_j_mean,sensitivity_at_youden_j_std,specificity_at_youden_j_mean,specificity_at_youden_j_std,precision_at_youden_j_mean,precision_at_youden_j_std
decision_tree_all,decision_tree,all,extrapolation_grouped,15,13497,255,0.5956135626277627,0.11064083870350151,0.8011213729573198,0.057410000601565495,0.25037430724897286,0.04033533731839205,0.17117618542379479,0.16870504864401023,0.7413183619233442,0.10992580774437201,0.5864959649367668,0.09479958225531915,0.7036663921672058,0.16398268152994708,0.4693255377063279,0.21092665296102842,0.8048934008549352,0.06615263035545246,0.0258665689628666,0.08743375745559466,0.8542383840316367,0.025638612207931,0.5132069542404467,0.04392363219188684,0.9753699989414275,0.06743846823094214,0.05104390953946604,0.15435430009091375,0.7627848703752147,0.025263038831005846,0.1688968081762521,0.16992325745442238,0.7231352364612956,0.10734778354705019,0.5906532864732051,0.09478226826094917,0.6677841925253716,0.15444445080700187,0.5135223804210385,0.21225557773370488,0.8138857494958832,0.07398212265361637,0.1688968081762521,0.16992325745442238,0.7231352364612956,0.10734778354705019,0.5906532864732051,0.09478226826094917,0.6677841925253716,0.15444445080700187,0.5135223804210385,0.21225557773370488,0.8138857494958832,0.07398212265361637
decision_tree_all,decision_tree,all,interpolation_holdout,3,2700,245,0.8595241427260834,0.0074310086023374345,0.9388870729572686,0.002523889731104672,0.15157278189503756,0.005586574771408957,0.5315184720583882,0.004532123434497512,0.843814175659204,0.012835247056517332,0.7983804148146175,0.007550719607446247,0.7717231222385862,0.03085762421171865,0.8250377073906486,0.04554952902124133,0.9318050804381021,0.014329244176118795,0.40456681914015635,0.017841339964134544,0.8825126148767334,0.0032483161957599207,0.6477840938119894,0.013807417100679611,0.960726558664703,0.013200127304613422,0.334841628959276,0.03866065043130105,0.8161891315951383,0.006983710195412246,0.5276393583940343,0.014076384865393908,0.8134194433617656,0.012242826671459145,0.8041781343782558,0.008074829933987083,0.7079037800687286,0.021460474221300326,0.9004524886877827,0.02394345077886505,0.956419322081147,0.0090413845582843,0.5276393583940343,0.014076384865393908,0.8134194433617656,0.012242826671459145,0.8041781343782558,0.008074829933987083,0.7079037800687286,0.021460474221300326,0.9004524886877827,0.02394345077886505,0.956419322081147,0.0090413845582843
decision_tree_all,decision_tree,all,interpolation_stratified,15,13497,1217,0.8538713124198026,0.019618282839251756,0.938087452505385,0.011966112330077319,0.1525225390763586,0.010314960855961444,0.5174099240369977,0.04009376124081085,0.8376841014327198,0.012052383829428682,0.7912044880832615,0.025837908256244695,0.7634044512796454,0.026271695567099348,0.819004524886878,0.06658989145275197,0.9293184667230955,0.022251911600519626,0.3979492176878712,0.05107775759393691,0.881147368734764,0.006805808953271149,0.6459968521853707,0.033706381790784445,0.9583587119122199,0.01927237209032741,0.3336349924585218,0.08156399597218784,0.8159429658536961,0.016751382362923752,0.5245210195758923,0.029506493607348395,0.8229588520425891,0.01786619422759953,0.8000663455854858,0.016435994274199624,0.7289411376264764,0.029712121111487563,0.8711915535444948,0.034539640510328436,0.9459269040493936,0.012820797256684975,0.5245210195758923,0.029506493607348395,0.8229588520425891,0.01786619422759953,0.8000663455854858,0.016435994274199624,0.7289411376264764,0.029712121111487563,0.8711915535444948,0.034539640510328436,0.9459269040493936,0.012820797256684975
decision_tree_all,decision_tree,all,lopo,85,4499,85,0.5945651542532627,0.17500345810442078,0.7533865473302132,0.18381907462834557,0.18073009816646057,0.17004999144471658,0.058408303554447386,0.16716854407639703,0.8154724956232009,0.2290375001979674,0.7178481645434354,0.249796163524069,0.8337701958261575,0.26026322519484496,0.33622959394532603,0.3921858189855395,0.8763180878239445,0.1770593173955495,0.010518647437649326,0.10920783021655377,0.9030813829545639,0.131102803771516,0.7398425342934335,0.2511967269959321,0.9974972460894471,0.01733689752479368,0.023391812865497075,0.14909935081495793,0.8481411041663172,0.1949540861973889,0.0661552346268692,0.15706509222517767,0.7567250839618793,0.2740202120549863,0.6883681843167391,0.2476083961576957,0.7516688222334937,0.3107464367861795,0.45189502668273646,0.405675569370823,0.8879260111978816,0.17089139683883894,0.0661552346268692,0.15706509222517767,0.7567250839618793,0.2740202120549863,0.6883681843167391,0.2476083961576957,0.7516688222334937,0.3107464367861795,0.45189502668273646,0.405675569370823,0.8879260111978816,0.17089139683883894
decision_tree_physics,decision_tree,physics,extrapolation_grouped,15,13497,255,0.6560204580144414,0.05713250822311617,0.8276544309897332,0.033777742063020186,0.22987392600103093,0.02601663613270946,0.20709104007243376,0.13125293660531026,0.7137513550711596,0.1423140283166296,0.6103344608253315,0.06511391293263356,0.6637794596938501,0.21121851989788676,0.5568894619568129,0.2427746170936248,0.8295603707605473,0.05131521838324573,0.007028982049820397,0.042402266507090516,0.8564711295490002,0.017596655005634614,0.5021197035565592,0.011354076338843963,0.9883431907921704,0.021858456266554444,0.015896216320947922,0.035597937765838715,0.755922805492373,0.020709109957042157,0.21194121419955686,0.14512631538941062,0.6973591005023532,0.12981501265228015,0.6199930318135156,0.07794092380202605,0.6233917458696964,0.1841146267946889,0.6165943177573348,0.2289171855724782,0.8397171661515502,0.05327978248009029,0.21194121419955686,0.14512631538941062,0.6973591005023532,0.12981501265228015,0.6199930318135156,0.07794092380202605,0.6233917458696964,0.1841146267946889,0.6165943177573348,0.2289171855724782,0.8397171661515502,0.05327978248009029
decision_tree_physics,decision_tree,physics,interpolation_holdout,3,2700,245,0.8338131446075655,0.011914071346329986,0.9296805350239535,0.007616828615407752,0.1698569547268355,0.013219316201367742,0.4617716857131186,0.03693764164449788,0.8085505922307391,0.011263308740050772,0.763539674394738,0.02183552600066533,0.7216494845360825,0.015586163835431996,0.8054298642533936,0.043636428782773566,0.919536306860914,0.016160030830931957,0.34469421691566887,0.088803398639778,0.8775674189444501,0.01059083621938076,0.6119515212905147,0.044547020297060425,0.9720176730486009,0.003896540958857999,0.2518853695324284,0.09188231921881167,0.8000262640244099,0.019511580795998257,0.4783698975909855,0.03518375207372994,0.7876616485877834,0.025703891692310774,0.7764023928365953,0.020503371807084947,0.6764850270004908,0.0402073544024414,0.8763197586726998,0.045773728221699936,0.944359853043984,0.0174293488283305,0.4783698975909855,0.03518375207372994,0.7876616485877834,0.025703891692310774,0.7764023928365953,0.020503371807084947,0.6764850270004908,0.0402073544024414,0.8763197586726998,0.045773728221699936,0.944359853043984,0.0174293488283305
decision_tree_physics,decision_tree,physics,interpolation_stratified,15,13497,1217,0.8375166305448538,0.015617986025915135,0.9350645193016739,0.007105532351737885,0.16403347685503297,0.007730261279739416,0.48217454992325587,0.032576168157283376,0.8185122339862454,0.01714485382963929,0.7735339566830363,0.02034216752986441,0.7359065257340962,0.03359713080314267,0.8111613876319761,0.05780700581562567,0.9238095597465138,0.01919712003144891,0.33350528411519564,0.052592797794171926,0.8731225930759106,0.006416660161194762,0.6154802611464466,0.028924618740451314,0.9582606731224558,0.016276839161340418,0.27269984917043744,0.06856929657980501,0.8021807044235227,0.012925390858153845,0.4753398329777326,0.03881032632917607,0.7962729348268576,0.021602558191687656,0.7735377244570268,0.022429069433331558,0.6936817837556821,0.03452160564375166,0.8533936651583712,0.04914690183251874,0.9362917004252707,0.018814566007638332,0.4753398329777326,0.03881032632917607,0.7962729348268576,0.021602558191687656,0.7735377244570268,0.022429069433331558,0.6936817837556821,0.03452160564375166,0.8533936651583712,0.04914690183251874,0.9362917004252707,0.018814566007638332
decision_tree_physics,decision_tree,physics,lopo,85,4499,85,0.6450099026545553,0.18345073478394772,0.7858350523225811,0.19107031848190398,0.16800277928747315,0.13322457457587092,0.1168191737392514,0.20332704468342913,0.810317547233856,0.22946472250589112,0.7550842930548403,0.21366684114012913,0.8007475796227146,0.2667702566682221,0.5401652404307488,0.3932186394971257,0.9017427738137123,0.16719152744885946,0.0030899975205813343,0.04968415570264911,0.9030125389730413,0.13133836359865803,0.7372460894470149,0.25058750571501603,0.9960608063450098,0.0260175208415379,0.014814814814814814,0.09938079899999065,0.8491322254304019,0.19458544378577391,0.1153545968052025,0.20412635592416126,0.7522993467360033,0.28423727081630146,0.7131182086987303,0.2545233138620382,0.7301687112049715,0.3160703693060208,0.597385020650529,0.4010641131874227,0.9067590474968087,0.16747427220459585,0.1153545968052025,0.20412635592416126,0.7522993467360033,0.28423727081630146,0.7131182086987303,0.2545233138620382,0.7301687112049715,0.3160703693060208,0.597385020650529,0.4010641131874227,0.9067590474968087,0.16747427220459585
knn_all,knn,all,extrapolation_grouped,15,13497,255,0.6284431911795577,0.05621797642098573,0.8294630715785014,0.031863516635607055,0.23994114287840668,0.02669903226066158,0.16525729125442273,0.11930273504863274,0.700001797471094,0.08658583868278717,0.5933426788944323,0.0645802698167632,0.6267318123379257,0.13843139782467934,0.559953545450939,0.21707892617250973,0.8236818880429887,0.05117421916295527,0.020106661911832354,0.05903599035216842,0.8597370335187032,0.01439032919171847,0.5033081492599893,0.009919552268887457,0.99659100125341,0.009520335009488077,0.010025297266568763,0.0271060793630279,0.7562525371053282,0.02230873177730449,0.1697586033121046,0.11753120119929637,0.6902516137261087,0.08205758759183387,0.5966823828243003,0.06307484725747822,0.6082055653038141,0.12908692520918047,0.5851592003447865,0.2017539282335796,0.8267947459042126,0.050349907816893594,0.1697586033121046,0.11753120119929637,0.6902516137261087,0.08205758759183387,0.5966823828243003,0.06307484725747822,0.6082055653038141,0.12908692520918047,0.5851592003447865,0.2017539282335796,0.8267947459042126,0.050349907816893594
knn_all,knn,all,interpolation_holdout,3,2700,245,0.8223843066171751,0.012261579434120201,0.9311500382793106,0.002651187759572864,0.18513617292708373,0.005182255880601643,0.4353941293663139,0.014404029915477094,0.772496721204395,0.020114814814954588,0.7514299930916062,0.010385141078496175,0.6627393225331369,0.04099973757606793,0.8401206636500754,0.06176650144628437,0.9284278115801463,0.02161192104992571,0.3360267919098108,0.01945034553745602,0.8653525472438571,0.010603738317601783,0.6326011768704309,0.010243284443852937,0.9273441335297005,0.03365922379267934,0.33785822021116135,0.05398349975316222,0.8116279617894642,0.006790334948868489,0.4353941293663139,0.014404029915477094,0.772496721204395,0.020114814814954588,0.7514299930916062,0.010385141078496175,0.6627393225331369,0.04099973757606793,0.8401206636500754,0.06176650144628437,0.9284278115801463,0.02161192104992571,0.4353941293663139,0.014404029915477094,0.772496721204395,0.020114814814954588,0.7514299930916062,0.010385141078496175,0.6627393225331369,0.04099973757606793,0.8401206636500754,0.06176650144628437,0.9284278115801463,0.02161192104992571
