model_id,protocol,metric,estimate,ci_low,ci_high,confidence_level,iterations,resampling_unit,repeat_aggregation
knn_physics,extrapolation_grouped,pr_auc,0.8752292149484827,0.8186439765896524,0.9266727573799655,0.95,2000,canonical_paper,mean probability per row_id before resampling
knn_physics,extrapolation_grouped,brier,0.19373214649622283,0.15614551180526362,0.2229115026893193,0.95,2000,canonical_paper,mean probability per row_id before resampling
knn_physics,interpolation_holdout,roc_auc,0.82783655885176,0.8095360502878849,0.846147500481314,0.95,2000,unique_row_id,mean probability per row_id before resampling
knn_physics,interpolation_holdout,pr_auc,0.9321240590056743,0.920969479290747,0.9428361002577405,0.95,2000,unique_row_id,mean probability per row_id before resampling
knn_physics,interpolation_holdout,brier,0.1812495559160089,0.1687740765697893,0.19341817094623856,0.95,2000,unique_row_id,mean probability per row_id before resampling
knn_physics,interpolation_stratified,roc_auc,0.854538885496631,0.8439245501398737,0.8656822624948806,0.95,2000,unique_row_id,mean probability per row_id before resampling
knn_physics,interpolation_stratified,pr_auc,0.949669249270768,0.9435806728337774,0.9552218249322918,0.95,2000,unique_row_id,mean probability per row_id before resampling
knn_physics,interpolation_stratified,brier,0.15867646413836767,0.15137888233356112,0.1662213654090753,0.95,2000,unique_row_id,mean probability per row_id before resampling
knn_physics,lopo,roc_auc,0.7139738212496367,0.6639881874665939,0.7637095642310182,0.95,2000,canonical_paper,mean probability per row_id before resampling
knn_physics,lopo,pr_auc,0.8680385827087116,0.8188946220383777,0.9187324060716325,0.95,2000,canonical_paper,mean probability per row_id before resampling
knn_physics,lopo,brier,0.2085125339252752,0.16529444844117513,0.2433454696680343,0.95,2000,canonical_paper,mean probability per row_id before resampling
mlp_all,extrapolation_grouped,roc_auc,0.6876681500758592,0.6220084393754897,0.7619286492197526,0.95,2000,canonical_paper,mean probability per row_id before resampling
mlp_all,extrapolation_grouped,pr_auc,0.8565553882202017,0.7926665017914626,0.9211460682028004,0.95,2000,canonical_paper,mean probability per row_id before resampling
mlp_all,extrapolation_grouped,brier,0.191717308951038,0.15022924175269334,0.2259988099470366,0.95,2000,canonical_paper,mean probability per row_id before resampling
mlp_all,interpolation_holdout,roc_auc,0.8701042433982902,0.8552618974970146,0.8842776796468249,0.95,2000,unique_row_id,mean probability per row_id before resampling
mlp_all,interpolation_holdout,pr_auc,0.9553370961547469,0.9474218453454968,0.9624510356762399,0.95,2000,unique_row_id,mean probability per row_id before resampling
mlp_all,interpolation_holdout,brier,0.15271838124385842,0.14146603803150795,0.1637431729091494,0.95,2000,unique_row_id,mean probability per row_id before resampling
mlp_all,interpolation_stratified,roc_auc,0.8792893767814909,0.8684308852823213,0.8895548635909616,0.95,2000,unique_row_id,mean probability per row_id before resampling
mlp_all,interpolation_stratified,pr_auc,0.9595806310363206,0.9543441567177811,0.9644842789990543,0.95,2000,unique_row_id,mean probability per row_id before resampling
mlp_all,interpolation_stratified,brier,0.13774224706216523,0.1311811294730716,0.14422896346756187,0.95,2000,unique_row_id,mean probability per row_id before resampling
mlp_all,lopo,roc_auc,0.6920619832176559,0.6223850060313295,0.7764586573444976,0.95,2000,canonical_paper,mean probability per row_id before resampling
mlp_all,lopo,pr_auc,0.8563347911826045,0.7929969969549043,0.9259448490608327,0.95,2000,canonical_paper,mean probability per row_id before resampling
mlp_all,lopo,brier,0.22140867949880425,0.17089622372264077,0.26307545058338166,0.95,2000,canonical_paper,mean probability per row_id before resampling
mlp_physics,extrapolation_grouped,roc_auc,0.7180439529966377,0.6505976819708571,0.7832418038728263,0.95,2000,canonical_paper,mean probability per row_id before resampling
mlp_physics,extrapolation_grouped,pr_auc,0.8772418295950941,0.8200623306409286,0.9348949203736724,0.95,2000,canonical_paper,mean probability per row_id before resampling
mlp_physics,extrapolation_grouped,brier,0.1942197955028186,0.15263780576897845,0.22806863206822048,0.95,2000,canonical_paper,mean probability per row_id before resampling
mlp_physics,interpolation_holdout,roc_auc,0.8313762583986251,0.8141300025749463,0.8481295604985253,0.95,2000,unique_row_id,mean probability per row_id before resampling
mlp_physics,interpolation_holdout,pr_auc,0.9405007806623099,0.9308491602750841,0.9494776709647872,0.95,2000,unique_row_id,mean probability per row_id before resampling
mlp_physics,interpolation_holdout,brier,0.1710725288976978,0.16123729539090492,0.18101256505670135,0.95,2000,unique_row_id,mean probability per row_id before resampling
mlp_physics,interpolation_stratified,roc_auc,0.8576244477211582,0.8463416143528285,0.8689676040562138,0.95,2000,unique_row_id,mean probability per row_id before resampling
mlp_physics,interpolation_stratified,pr_auc,0.9498160116503266,0.9433998463835238,0.9560412716098212,0.95,2000,unique_row_id,mean probability per row_id before resampling
mlp_physics,interpolation_stratified,brier,0.15852706862670973,0.15163818759941697,0.16535509512216706,0.95,2000,unique_row_id,mean probability per row_id before resampling
mlp_physics,lopo,roc_auc,0.6677634473398626,0.5822750542389618,0.7529426849126286,0.95,2000,canonical_paper,mean probability per row_id before resampling
mlp_physics,lopo,pr_auc,0.8478690778076168,0.7812779469052655,0.9200410816023051,0.95,2000,canonical_paper,mean probability per row_id before resampling
mlp_physics,lopo,brier,0.2104148045483364,0.16514506854061692,0.2455008255438813,0.95,2000,canonical_paper,mean probability per row_id before resampling
svm_all,extrapolation_grouped,roc_auc,0.6778248546143447,0.6063889417706527,0.7409463953087727,0.95,2000,canonical_paper,mean probability per row_id before resampling
svm_all,extrapolation_grouped,pr_auc,0.8671615764384634,0.8191482352789531,0.9170516077113607,0.95,2000,canonical_paper,mean probability per row_id before resampling
svm_all,extrapolation_grouped,brier,0.20013892930579222,0.1826417427982526,0.2138372114337525,0.95,2000,canonical_paper,mean probability per row_id before resampling
svm_all,interpolation_holdout,roc_auc,0.8734201656286968,0.8579026352284604,0.8876013222388328,0.95,2000,unique_row_id,mean probability per row_id before resampling
svm_all,interpolation_holdout,pr_auc,0.9565837285842238,0.948612880700597,0.9638167239442853,0.95,2000,unique_row_id,mean probability per row_id before resampling
svm_all,interpolation_holdout,brier,0.15054160596696106,0.14211842959386703,0.1592824729864689,0.95,2000,unique_row_id,mean probability per row_id before resampling
svm_all,interpolation_stratified,roc_auc,0.8687020214005552,0.8573182290051977,0.8791360958900697,0.95,2000,unique_row_id,mean probability per row_id before resampling
svm_all,interpolation_stratified,pr_auc,0.9541165948497379,0.9479920202834783,0.9597709615173743,0.95,2000,unique_row_id,mean probability per row_id before resampling
svm_all,interpolation_stratified,brier,0.17264966970557613,0.1694832634389217,0.17568844849021698,0.95,2000,unique_row_id,mean probability per row_id before resampling
svm_all,lopo,roc_auc,0.65140772777086,0.5742297565449686,0.7227155532038966,0.95,2000,canonical_paper,mean probability per row_id before resampling
svm_all,lopo,pr_auc,0.8474073663001482,0.7932532112711748,0.9030967402263173,0.95,2000,canonical_paper,mean probability per row_id before resampling
svm_all,lopo,brier,0.2007305501159414,0.17996915462281485,0.21616842186350183,0.95,2000,canonical_paper,mean probability per row_id before resampling
svm_physics,extrapolation_grouped,roc_auc,0.721374691030485,0.6649307460698545,0.77408671855002,0.95,2000,canonical_paper,mean probability per row_id before resampling
svm_physics,extrapolation_grouped,pr_auc,0.8924460472637775,0.8441473211440165,0.9388856139622136,0.95,2000,canonical_paper,mean probability per row_id before resampling
svm_physics,extrapolation_grouped,brier,0.19631517841944346,0.17596245841747005,0.21236190512575737,0.95,2000,canonical_paper,mean probability per row_id before resampling
svm_physics,interpolation_holdout,roc_auc,0.8412866358624076,0.8234999148918333,0.8568888581456618,0.95,2000,unique_row_id,mean probability per row_id before resampling
