protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
extrapolation_grouped,decision_tree_all,decision_tree_physics,15,-0.06040689538667876,0.083251953125,-0.02653305803241337,0.1688232421875,0.020500381247941894,0.33026123046875,-0.035914854648639,0.48870849609375,-0.0022327455173634324,1.0,-0.029339745340310395,0.359130859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,knn_all,15,-0.032829628551795116,0.30279541015625,-0.0283416986211816,0.02154541015625,0.010433164370566145,0.97796630859375,0.005918894169372047,0.30279541015625,-0.005498649487066457,0.11585149752593006,-0.0060290963510951975,0.7197265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,knn_physics,15,-0.10837052080019806,0.00537109375,-0.06943780517555845,0.00201416015625,0.03907056905964588,0.01507568359375,-0.07673222477351539,0.359130859375,-0.0031919276163725474,0.6120898800892568,-0.059978837539283535,0.1353759765625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,mlp_all,15,-0.062322786596226365,0.072998046875,-0.05269621267579739,0.0067138671875,0.018525085860473876,0.33026123046875,-0.011662035945366491,0.76153564453125,0.00010596732202276342,0.916511907863894,-0.010996837797173838,0.846923828125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,mlp_physics,15,-0.10019030664233548,0.02557373046875,-0.0650255647809405,0.02557373046875,0.0311084588507642,0.041259765625,-0.10020798538248003,0.15142822265625,-0.0029519684151300424,0.4652088184521418,-0.05774084046815271,0.1353759765625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,svm_all,15,-0.047329992976334924,0.207763671875,-0.05791322416816304,0.00836181640625,0.04726192995858329,6.103515625e-05,0.026106062596752144,0.42120361328125,0.0009468627198256252,0.7670968684102772,0.0018106145824987817,0.67877197265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,svm_physics,15,-0.10392348776412587,0.0067138671875,-0.07789620423004419,0.00042724609375,0.05122721412954053,6.103515625e-05,-0.017615482067192916,0.7197265625,0.0005738481978683208,0.5937116848746409,-0.03399422640401085,0.5614013671875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,xgb_all_class_paper_weighted,15,-0.10265770388644165,0.00152587890625,-0.0660578979695973,0.00115966796875,0.06078717312612432,6.103515625e-05,-0.0941034352829324,0.01025390625,-0.004723334985344696,0.7531523647659145,-0.061581884909924,0.00335693359375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,xgb_all_focal_class_paper_weighted,15,0.1033125437464472,0.00537109375,0.04876804284905337,0.0067138671875,-0.489380596067525,6.103515625e-05,0.20046596571769956,0.0006103515625,-0.006042052982811922,0.10880943004054569,0.10031406814563178,0.00201416015625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,xgb_all_unweighted,15,-0.10618225469292372,0.00201416015625,-0.07017428349942247,0.00152587890625,0.06488379837471542,6.103515625e-05,-0.0892121956277691,0.072998046875,-0.00511451245408953,0.24549352944751968,-0.05533239727131113,0.00836181640625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,xgb_physics_class_paper_weighted_monotone_o2,15,-0.1194508701347871,0.00262451171875,-0.07610440774278272,0.00152587890625,0.06067322792011795,6.103515625e-05,-0.10521841772381481,0.083251953125,-0.0023067321280751283,0.5146697234497355,-0.0710146801683625,0.03533935546875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,xgb_physics_focal_class_paper_weighted,15,0.10453589413452406,0.00537109375,0.0469372694116218,0.01025390625,-0.48114212153953023,6.103515625e-05,0.17949457416876755,0.00335693359375,-0.006042052982811922,0.10880943004054569,0.09545644111537145,0.0042724609375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,xgb_physics_paper_bagging,15,-0.1177208004140034,0.00115966796875,-0.07663305060196031,0.0006103515625,0.07483709555266597,0.0001220703125,-0.11919787396816932,0.03533935546875,-0.003278384421672816,0.7221076526150257,-0.07543404735147335,0.0067138671875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_all,xgb_physics_unweighted,15,-0.12539232804159367,0.0008544921875,-0.07754673395171632,0.00152587890625,0.07782506844797034,6.103515625e-05,-0.11866846834978233,0.00537109375,-0.0035272209292676565,0.8886378608950078,-0.06419865996383008,0.01025390625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_physics,knn_all,15,0.027577266834883648,0.22930908203125,-0.0018086405887682325,0.97796630859375,-0.010067216877375749,0.1876220703125,0.04183374881801104,0.10699462890625,-0.003265903969703025,0.09096894797535775,0.023310648989215196,0.33026123046875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_physics,knn_physics,15,-0.0479636254135193,0.04791259765625,-0.04290474714314509,0.0067138671875,0.01857018781170398,0.05535888671875,-0.04081737012487638,0.45428466796875,-0.0009591820990091149,0.6120898800892568,-0.030639092198973126,0.22930908203125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_physics,mlp_all,15,-0.0019158912095476044,0.93408203125,-0.02616315464338402,0.25238037109375,-0.001975295387468018,1.0,0.024252818703272505,0.5614013671875,0.002338712839386196,0.8657723749926214,0.018342907543136555,0.45428466796875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_physics,mlp_physics,15,-0.03978341125565673,0.1353759765625,-0.038492506748527125,0.041259765625,0.010608077602822306,0.15142822265625,-0.06429313073384106,0.22930908203125,-0.00071922289776661,0.6858304344516057,-0.028401095127842318,0.389404296875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_physics,svm_all,15,0.013076902410343835,0.76153564453125,-0.03138016613574967,0.041259765625,0.026761548710641406,0.00152587890625,0.06202091724539114,0.15142822265625,0.003179608237189058,0.7670968684102772,0.031150359922809175,0.1876220703125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_physics,svm_physics,15,-0.0435165923774471,0.041259765625,-0.05136314619763083,6.103515625e-05,0.03072683288159863,0.00115966796875,0.018299372581446084,0.7197265625,0.002806593715231753,0.3739447986092539,-0.004654481063700451,0.93408203125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_physics,xgb_all_class_paper_weighted,15,-0.04225080849976289,0.041259765625,-0.03952483993718393,0.00201416015625,0.04028679187818241,0.00042724609375,-0.0581885806342934,0.1688232421875,-0.0024905894679812636,0.463071015014588,-0.0322421395696136,0.12054443359375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,decision_tree_physics,xgb_all_focal_class_paper_weighted,15,0.16371943913312598,6.103515625e-05,0.07530110088146674,6.103515625e-05,-0.5098809773154669,6.103515625e-05,0.2363808203663386,0.00042724609375,-0.0038093074654484897,0.06788915486182899,0.12965381348594215,0.00030517578125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
