method,group_roc_auc,group_roc_auc_std,pr_auc,pr_auc_std,mcc,mcc_std,f1,f1_std,balanced_accuracy,balanced_accuracy_std
xgb,0.6406200465361864,0.0911491307660843,0.8355707710924355,0.061284235296001355,0.17139847041443865,0.09707247116213687,0.8553123637001626,0.014547924501312728,0.5878332176405847,0.05338554271244825
mlp,0.6004548319730144,0.06316781566460801,0.8001680083196228,0.05472745159487673,0.10904723072633707,0.12772546434181178,0.8302475788790865,0.027202127228870502,0.5640154526832577,0.07094077619154379
svm,0.5918863304288994,0.0701042573508843,0.818794915327081,0.04522245920092543,0.1302341264839777,0.0928522651928245,0.8550362736173927,0.014369552530084677,0.5656377468465588,0.0517546697266397
dt,0.5788412345983958,0.08975644251527995,0.7827956384976257,0.048072296813384895,0.124334952953885,0.1283924382059818,0.8552922371384047,0.016017191736758467,0.569513542639786,0.05658462121425556
knn,0.576632303507109,0.08551854877270726,0.7809402629522085,0.056660334127475113,-0.006200833873386709,0.10388524047519154,0.8506140166044188,0.01608095402623437,0.5242027887514886,0.09227239083251246
