Model,Group RMSE (RD),Group RMSE (RD+BT),Group dRMSE (BT-RD),Random RMSE (RD),Random RMSE (RD+BT),Random dRMSE (BT-RD)
MLP,10.4734,13.3784,2.9051,11.6282,13.8831,2.255
KNN,11.0481,10.9863,-0.0618,8.3367,8.2321,-0.1046
Decision Tree,12.8808,15.9701,3.0893,9.5186,10.9313,1.4128
XGBoost,13.3852,12.7467,-0.6385,11.1384,10.39,-0.7484
