Model,Random RMSE,Group RMSE,Generalization Gap
MLP,11.6282,10.4734,-1.1548
KNN,8.3367,11.0481,2.7113
Decision Tree,9.5186,12.8808,3.3623
XGBoost,11.1384,13.3852,2.2469
