feature,importance_mean,importance_std,held_out_roc_auc
fuel_pyrolysis_t_k,0.16210866339542823,0.014895452881782154,0.7535589410589412
flow_speed_abs_mm_s,0.053240325850620086,0.010023614737740104,0.7535589410589412
flow_velocity_mm_s,0.01247594317447268,0.005091304963127253,0.7535589410589412
fuel_density_kg_m3,0.00974925809484643,0.004982995472325725,0.7535589410589412
fuel_cp_j_kgk,0.006176727684080713,0.0017458638039419634,0.7535589410589412
pressure_kpa,0.005791634835752573,0.0028665160212649576,0.7535589410589412
geometry_cat,0.0046558221190575455,0.0023858374687105834,0.7535589410589412
flow_direction_cat,0.003919058882294319,0.0012878064333030229,0.7535589410589412
fuel_alpha_m2_s,0.003232980255039197,0.0008949908735875251,0.7535589410589412
fuel_k_w_mk,0.002526517600047129,0.0009313214925926299,0.7535589410589412
core_density_kg_m3,0.0010674986777928718,0.0003276118183890922,0.7535589410589412
core_k_w_mk,0.00043247193982498544,0.0002683137586492324,0.7535589410589412
core_cp_j_kgk,0.0001549920667568705,0.00010346192770116473,0.7535589410589412
gas_nu_m2_s,3.4524299230287436e-05,0.002071269232778222,0.7535589410589412
diluent_cat,0.0,0.0,0.7535589410589412
gas_alpha_m2_s,-0.00036874889816057024,0.0013949825603035541,0.7535589410589412
gravity_regime_cat,-0.0016992198977492045,0.00048152263389284177,0.7535589410589412
gravity_g,-0.0017368660751012621,0.003554454788753966,0.7535589410589412
log10_gravity_g,-0.0034404933301990957,0.0014942678562144163,0.7535589410589412
gas_k_w_mk,-0.006401135629076677,0.00285211640175278,0.7535589410589412
oxygen_fraction,-0.00692450931421511,0.009892745790554361,0.7535589410589412
gas_density_kg_m3,-0.009076034259857691,0.00382196295224417,0.7535589410589412
gas_cp_j_kgk,-0.010320561791149912,0.0017116303752305881,0.7535589410589412
gas_molar_mass,-0.015493513839101986,0.007155296204369759,0.7535589410589412
