group_id,geometry,length_mm,width_mm,thickness_mm,diameter_mm,core_dia_mm,coating_mm,hollow,fuel_half_thickness_mm,fuel_density_kg_m3,fuel_k_W_mK,fuel_cp_J_kgK,fuel_pyrolysis_T_K,fuel_heat_of_combustion_MJ_kg,fr_type,fr_mass_fraction,has_core,core_density_kg_m3,core_k_W_mK,core_cp_J_kgK,core_heat_sink_ratio,core_conductance_ratio,xo2,pressure_kpa,pO2_kPa,diluent,gas_M,gas_cp_mass,gas_k,gas_density_kg_m3,gas_alpha_m2_s,gas_nu_m2_s,T_init_K,ext_flux_kW_m2,g_ratio,flow_velocity_mm_s,flow_speed_mm_s,flow_is_opposed,buoyant_velocity_mm_s,effective_velocity_mm_s,Re_flow,Gr_flow,mixed_convection_Gr_Re2,orientation,spread_dir,fuel_thermal_inertia_krc,fuel_thermal_diffusivity_m2_s,fuel_areal_heat_capacity_J_m2K,thermal_thickness_ratio,flame_temp_est_K,deRis_temp_ratio,deRis_thin_FSR_mm_s,ign_method,ignition_power_W,ignition_time_s,ignition_energy_J,chamber_min_dimension_mm,target_ignition,target_fsr_mm_s
2,Flat,55.0,55.0,0.051,,,,0.0,0.0255,1300,0.25,1500,600,17.8,,0.0,0,,,,0.0,0.0,1.0,34.5,34.5,N2,0.032,918.75,0.0263,0.45297,6.3e-05,4.1e-05,293.15,0.0,1.0,,,,73.720883,73.720883,0.0,3913919.777375,,,,487500.0,0.0,49.725,0.029747,3000.0,7.821411,5.850339,hot_wire,,,,396.0,1,30.3
2,Flat,55.0,55.0,0.051,,,,0.0,0.0255,1300,0.25,1500,600,17.8,,0.0,0,,,,0.0,0.0,1.0,34.5,34.5,N2,0.032,918.75,0.0263,0.45297,6.3e-05,4.1e-05,293.15,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,487500.0,0.0,49.725,,3000.0,7.821411,5.850339,hot_wire,,,,396.0,1,20.4
2,Flat,55.0,55.0,0.051,,,,0.0,0.0255,1300,0.25,1500,600,17.8,,0.0,0,,,,0.0,0.0,0.8,34.5,27.6,He,0.0264,1048.484848,0.0513,0.3737,0.000131,5e-05,293.15,0.0,1.0,,,,78.603016,78.603016,0.0,2663911.648476,,,,487500.0,0.0,49.725,0.015309,2875.0,7.414046,10.81715,hot_wire,,,,396.0,1,27.9
2,Flat,55.0,55.0,0.051,,,,0.0,0.0255,1300,0.25,1500,600,17.8,,0.0,0,,,,0.0,0.0,0.8,34.5,27.6,He,0.0264,1048.484848,0.0513,0.3737,0.000131,5e-05,293.15,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,487500.0,0.0,49.725,,2875.0,7.414046,10.81715,hot_wire,,,,396.0,1,19.2
2,Flat,55.0,55.0,0.051,,,,0.0,0.0255,1300,0.25,1500,600,17.8,,0.0,0,,,,0.0,0.0,0.8,34.5,27.6,Ar,0.0336,823.809524,0.02458,0.475618,6.3e-05,3.9e-05,293.15,0.0,1.0,,,,72.531628,72.531628,0.0,4315096.554556,,,,487500.0,0.0,49.725,0.029483,2875.0,7.414046,5.182954,hot_wire,,,,396.0,1,26.6
2,Flat,55.0,55.0,0.051,,,,0.0,0.0255,1300,0.25,1500,600,17.8,,0.0,0,,,,0.0,0.0,0.8,34.5,27.6,Ar,0.0336,823.809524,0.02458,0.475618,6.3e-05,3.9e-05,293.15,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,487500.0,0.0,49.725,,2875.0,7.414046,5.182954,hot_wire,,,,396.0,1,17.6
2,Flat,55.0,55.0,0.051,,,,0.0,0.0255,1300,0.25,1500,600,17.8,,0.0,0,,,,0.0,0.0,0.8,34.5,27.6,N2,0.0312,940.384615,0.02622,0.441645,6.3e-05,4.2e-05,293.15,0.0,1.0,,,,74.345666,74.345666,0.0,3720669.988367,,,,487500.0,0.0,49.725,0.030029,2875.0,7.414046,5.528765,hot_wire,,,,396.0,1,26.3
2,Flat,55.0,55.0,0.051,,,,0.0,0.0255,1300,0.25,1500,600,17.8,,0.0,0,,,,0.0,0.0,0.8,34.5,27.6,N2,0.0312,940.384615,0.02622,0.441645,6.3e-05,4.2e-05,293.15,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,487500.0,0.0,49.725,,2875.0,7.414046,5.528765,hot_wire,,,,396.0,1,16.2
2,Flat,55.0,55.0,0.051,,,,0.0,0.0255,1300,0.25,1500,600,17.8,,0.0,0,,,,0.0,0.0,0.6,34.5,20.7,He,0.0208,1248.076923,0.0763,0.29443,0.000208,6.3e-05,293.15,0.0,1.0,,,,85.104543,85.104543,0.0,1653631.105941,,,,487500.0,0.0,49.725,0.010452,2375.0,5.784585,12.552695,hot_wire,,,,396.0,1,23.4
2,Flat,55.0,55.0,0.051,,,,0.0,0.0255,1300,0.25,1500,600,17.8,,0.0,0,,,,0.0,0.0,0.6,34.5,20.7,He,0.0208,1248.076923,0.0763,0.29443,0.000208,6.3e-05,293.15,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,487500.0,0.0,49.725,,2375.0,5.784585,12.552695,hot_wire,,,,396.0,1,15.2
