Citation,,,Sample,,,Flow,,,,,,,Extra,,,,Outputs,,,,,Info,,,
Article (MLA),Authors,DOI,"Geometry of Sample (Flat, wire, or Cylindrical)","Dimensions of sample (Wire is in diameter, Cylindrical is in length x radius x thickness, Rectangle is in length x width x height, Shperical)",Material of sample,Oxygen Concentration,Pressure,Flow Velocity (Co flow is + and counter flow is -),Rig Name,"Internal geometry (Cylindrical , rectangular)",Internal Dimensions ,Gravity (g/gearth),"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)","Ignition method (Wire, open flame, or Radiative Heater",Ignition power (W),Ignition time (s),Ignition (Yes/No),Flame Length,FSR (Flame Spread Rate),HRR (Heat release rate),Smoke/ Areosols (yes/no),,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.051 mm,Cellulose acetate sheet; MIL SPEC LP-504,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,32.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.051 mm,Cellulose acetate sheet; MIL SPEC LP-504,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,23.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.030 mm,Cellulosic tSpacecraftue,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,98.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.030 mm,Cellulosic tSpacecraftue,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,90.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.030 mm,Cellulosic tSpacecraftue,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,106.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.030 mm,Cellulosic tSpacecraftue,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,87.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.030 mm,Cellulosic tSpacecraftue,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,98.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.030 mm,Cellulosic tSpacecraftue,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,87.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.050 mm,Silkspan type 00; Manila hemp and cellulosic fibers,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,105.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.050 mm,Silkspan type 00; Manila hemp and cellulosic fibers,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,93.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.050 mm,Silkspan type 00; Manila hemp and cellulosic fibers,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,116.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.050 mm,Silkspan type 00; Manila hemp and cellulosic fibers,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,99.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.050 mm,Silkspan type 00; Manila hemp and cellulosic fibers,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,102.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.050 mm,Silkspan type 00; Manila hemp and cellulosic fibers,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,99.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.100 mm,White bond paper type 115; 25% rag,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,20.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.100 mm,White bond paper type 115; 25% rag,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,15.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.100 mm,White bond paper type 115; 25% rag,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,23.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.100 mm,White bond paper type 115; 25% rag,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,12.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.100 mm,White bond paper type 115; 25% rag,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,20.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.100 mm,White bond paper type 115; 25% rag,0.996,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,12.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Flat,63 mm x 63 mm x 0.025 mm ,Cellulose acetate sheet; MIL SPEC LP-504,1.000,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Drop Tower,Wire,,,Yes,,67.000,,,"Orientation=horizontal, T_init=20C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Flat,63 mm x 63 mm x 0.025 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,55.000,,,"Orientation=horizontal, T_init=20C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Flat,63 mm x 63 mm x 0.051 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Drop Tower,Wire,,,Yes,,29.000,,,"Orientation=horizontal, T_init=20C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Flat,63 mm x 63 mm x 0.051 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,20.000,,,"Orientation=horizontal, T_init=20C",,,
"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravity. NASA Technical Memorandum X-3055, National Aeronautics and Space Administration, May 1974","Charles R. Andracchio, Thomas H. Cochran",NASA TM X-3055,Flat,63 mm x 63 mm x 0.122 mm,Cellulose acetate sheet; MIL SPEC LP-504,1.000,34.500,,NASA Glenn Research Center,Cylindrical,305 mm diameter; 610 mm height,1.00,Drop Tower,Wire,,,Yes,,17.000,,,"Orientation=horizontal, T_init=20C",,,
