strategy,method,metric,mean,ci_low,ci_high,n,bootstrap_iterations
interpolation_stratified_5fold,XGBoost,roc_auc,0.8982546333753874,0.8928745693352929,0.904118041148622,5,1000
interpolation_stratified_5fold,XGBoost,pr_auc,0.9662333576570953,0.9643519804332312,0.968143673318895,5,1000
interpolation_stratified_5fold,XGBoost,mcc,0.48568420576421534,0.43528954407255854,0.5235620932809522,5,1000
interpolation_stratified_5fold,XGBoost,balanced_accuracy,0.7686284504204931,0.7372551990843136,0.7941148813926399,5,1000
interpolation_stratified_5fold,KNN,roc_auc,0.7732625333353838,0.7612626725529809,0.7824464783932401,5,1000
interpolation_stratified_5fold,KNN,pr_auc,0.8984125125355422,0.8905353963108439,0.9052345466600901,5,1000
interpolation_stratified_5fold,KNN,mcc,0.40449746577762,0.3962941260653251,0.41655876963148303,5,1000
interpolation_stratified_5fold,KNN,balanced_accuracy,0.7304450150993104,0.7227516805984809,0.7380488653765838,5,1000
interpolation_stratified_5fold,Decision Tree,roc_auc,0.8163539644449396,0.8070378399229825,0.8257374764644949,5,1000
interpolation_stratified_5fold,Decision Tree,pr_auc,0.9152593035189289,0.9112824668669607,0.9206056100130864,5,1000
interpolation_stratified_5fold,Decision Tree,mcc,0.3987277709130733,0.3086030029414851,0.4754710699789169,5,1000
interpolation_stratified_5fold,Decision Tree,balanced_accuracy,0.7355302507571994,0.6779578171468205,0.7779362840481719,5,1000
interpolation_stratified_5fold,MLP,roc_auc,0.8602471017470551,0.8402109146596128,0.8801850302270067,5,1000
interpolation_stratified_5fold,MLP,pr_auc,0.950858955824117,0.9443285117872973,0.956027577252607,5,1000
interpolation_stratified_5fold,MLP,mcc,0.4012307681444415,0.25152204994217087,0.5410683780870235,5,1000
interpolation_stratified_5fold,MLP,balanced_accuracy,0.7358772854291441,0.6748388705780264,0.796915700280262,5,1000
interpolation_stratified_5fold,SVM (RBF),roc_auc,0.8092059106598365,0.7965087984015107,0.8218407109687286,5,1000
interpolation_stratified_5fold,SVM (RBF),pr_auc,0.9300331187608248,0.9244493851849855,0.9370328960634293,5,1000
interpolation_stratified_5fold,SVM (RBF),mcc,0.34908467530950515,0.24387141744927768,0.4295891647182349,5,1000
interpolation_stratified_5fold,SVM (RBF),balanced_accuracy,0.7067253790270869,0.6315959612891217,0.7499415286092163,5,1000
