strategy,method,metric,mean,ci_low,ci_high,n,bootstrap_iterations
extrapolation_grouped_cv,XGBoost,roc_auc,0.6597478347015824,0.6246424433151543,0.6952075938110226,15,1000
extrapolation_grouped_cv,XGBoost,pr_auc,0.8445738798277109,0.8255273926305533,0.8639771928966011,15,1000
extrapolation_grouped_cv,XGBoost,mcc,0.210525723886174,0.15880964056552488,0.2572098630517684,15,1000
extrapolation_grouped_cv,XGBoost,balanced_accuracy,0.6122781243543766,0.5832318424860297,0.6404983667270021,15,1000
extrapolation_grouped_cv,KNN,roc_auc,0.581401551370639,0.5445183267311994,0.6201271575367794,15,1000
extrapolation_grouped_cv,KNN,pr_auc,0.7998482092936958,0.7768068610501584,0.8256611442277191,15,1000
extrapolation_grouped_cv,KNN,mcc,0.1244690845420807,0.07495945646296093,0.17354506812739834,15,1000
extrapolation_grouped_cv,KNN,balanced_accuracy,0.5534251650993941,0.5326136909374294,0.5758136428850125,15,1000
extrapolation_grouped_cv,Decision Tree,roc_auc,0.5807312682062747,0.557097541469479,0.6050421374063832,15,1000
extrapolation_grouped_cv,Decision Tree,pr_auc,0.789498699672292,0.7749273995554385,0.8033983437361536,15,1000
extrapolation_grouped_cv,Decision Tree,mcc,0.1025248293921511,0.022854162604966324,0.17496181853458934,15,1000
extrapolation_grouped_cv,Decision Tree,balanced_accuracy,0.5484578977671177,0.5175200450938887,0.5836062436280018,15,1000
extrapolation_grouped_cv,MLP,roc_auc,0.6103308563968933,0.5759786899864732,0.6441281172335239,15,1000
extrapolation_grouped_cv,MLP,pr_auc,0.8173248947683273,0.7928293783796053,0.839982976176293,15,1000
extrapolation_grouped_cv,MLP,mcc,0.09248231740802672,0.03153554923966672,0.14457038106391648,15,1000
extrapolation_grouped_cv,MLP,balanced_accuracy,0.560847617507047,0.5328135622381976,0.5877158736894618,15,1000
extrapolation_grouped_cv,SVM (RBF),roc_auc,0.591721160872955,0.5331485843659932,0.6422111909421295,15,1000
extrapolation_grouped_cv,SVM (RBF),pr_auc,0.810979016418872,0.7828057893613641,0.841053760011603,15,1000
extrapolation_grouped_cv,SVM (RBF),mcc,0.09451490253265744,0.04235221041101769,0.1461748809261336,15,1000
extrapolation_grouped_cv,SVM (RBF),balanced_accuracy,0.5532233839513524,0.5254564364046853,0.5797181143705054,15,1000
