method,group_roc_auc,group_roc_auc_std,pr_auc,pr_auc_std,mcc,mcc_std,f1,f1_std,balanced_accuracy,balanced_accuracy_std
XGBoost,0.6597478347015824,0.07026097930332595,0.8445738798277109,0.03909029081068419,0.21052572388617405,0.10394178020250151,0.8565948808327261,0.011757854102659582,0.6122781243543766,0.05790237536994963
MLP,0.6103308563968934,0.0719908167149388,0.817324894768327,0.047353659345649356,0.0924823174080267,0.11666148641858573,0.8360882807522283,0.0338590267607008,0.560847617507047,0.05754990262837567
SVM (RBF),0.5917211608729549,0.10885230911515442,0.8109790164188719,0.061139458190498194,0.09451490253265742,0.10373609931112704,0.854609267311682,0.011650319645716589,0.5532233839513524,0.05340913276046089
KNN,0.5814015513706389,0.07940721290987984,0.7998482092936959,0.05069804884320814,0.1244690845420807,0.10075535729990215,0.820679669351059,0.06065730718063494,0.5534251650993941,0.044712830608127634
Decision Tree,0.5807312682062749,0.04970271158061026,0.789498699672292,0.029891853965690406,0.1025248293921511,0.15099642266664445,0.855648732369452,0.010960272029179789,0.5484578977671177,0.06719962462472295
